Название,ЗП,ЯП,Опыт,Город,Дата(Г/М/Д)
Разработчик мобильных игр,от 100 000 до 200 000 руб.,C++ .  C  . C# . OBJECTIVE-C ,3–6 лет,"Москва, Улица 1905 года",2016-09-04 
Программист С++/C#,з/п не указана,C# ,1–3 года,"Санкт-Петербург, Московские ворота",2016-09-04 
Backend .Net Разработчик,от 150 000 руб.,C# . HTML . JAVASCRIPT . CSS ,3–6 лет,"Москва, Выставочная",2016-09-04 
Мобильный разработчик для iOS\Android,з/п не указана,SWIFT . OBJECTIVE-C . IOS ,1–3 года,Москва,2016-09-04 
Программист- разработчик HTML 5 игр,о 100 000 руб.,HTML . JAVASCRIPT . CSS ,1–3 года,Москва,2016-09-04 
Разработчик Delphi / SQL,з/п не указана,JAVA  . DELPHI . PASCAL ,3–6 лет,"Санкт-Петербург, Чкаловская",2016-09-04 
Разработчик WebSphere (MB/MQ),от 150 000 руб., C  ,3–6 лет,"Москва, Павелецкая",2016-09-04 
Java-разработчик (г. Новосибирск),от 80 000 руб.,HTML . JAVA  . JAVASCRIPT . CSS ,3–6 лет,Москва,2016-09-04 
Java-разработчик (удаленно),от 100 000 руб.,HTML . JAVA  . JAVASCRIPT . CSS ,3–6 лет,Москва,2016-09-04 
Ведущий Java-разработчик,от 140 000 руб.,HTML . JAVA  . JAVASCRIPT . CSS ,3–6 лет,Москва,2016-09-04 
Java-разработчик,з/п не указана,JAVA  . LINUX ,1–3 года,Москва,2016-09-04 
Ведущий инженер-программист (Delphi),от 40 000 руб.,DELPHI ,3–6 лет,Уфа,2016-09-04 
Java Developer,з/п не указана,JAVA  . JAVASCRIPT . CSS ,не требуется,Самара,2016-09-04 
Java Developer (Тольятти),з/п не указана,JAVA  . JAVASCRIPT . CSS ,1–3 года,Тольятти,2016-09-04 
Regular Java Developer в Тольятти,з/п не указана,JAVA  . JAVASCRIPT . CSS ,1–3 года,Тольятти,2016-09-04 
Senior Java Developer,з/п не указана,JAVA  . JAVASCRIPT . CSS ,3–6 лет,Тольятти,2016-09-04 
Regular Java Developer,з/п не указана,JAVA  . JAVASCRIPT . CSS ,1–3 года,Самара,2016-09-04 
Senior Java Developer,з/п не указана,JAVA  . JAVASCRIPT . CSS ,3–6 лет,Самара,2016-09-04 
Разработчик программного обеспечения (на Delphi),от 25 000 руб.,DELPHI ,1–3 года,Уфа,2016-09-04 
Системный программист / Тестировщик,от 70 000 до 100 000 руб.,C++ . PHP . PYTHON . JAVASCRIPT . PERL . RUBY . LINUX ,3–6 лет,Санкт-Петербург,2016-09-04 
Программист С/Asm,от 70 000 до 135 000 руб.,C++ . JAVA  . LINUX ,3–6 лет,Санкт-Петербург,2016-09-04 
Системный программист,от 70 000 до 135 000 руб.,C++ . PYTHON . PERL . RUBY . LINUX ,3–6 лет,Санкт-Петербург,2016-09-04 
Разработчик исследователь ANDROID,от 70 000 до 135 000 руб.,C++ . C# . JAVA  . LINUX ,3–6 лет,Санкт-Петербург,2016-09-04 
Программист-разработчик Oracle,з/п не указана,C++ ,3–6 лет,"Москва, Партизанская, Черкизовская",2016-09-04 
Программист C#/ASP.NET MVC,от 50 000 руб.,C++ . C# . HTML . JAVASCRIPT . CSS ,1–3 года,"Санкт-Петербург, Старая Деревня",2016-09-04 
Web-разработчик,от 50 000 руб.,PHP . HTML . MYSQL . CSS . 1C ,1–3 года,Рязань,2016-09-04 
Python Developer,з/п не указана,HTML . PYTHON . DJANGO . JAVASCRIPT . CSS ,1–3 года,Москва,2016-09-04 
